text,label
"The rice crop shows gradual yellowing of lower leaves with brown lesions spreading after prolonged rainfall.",1
"Maize plants have curled leaves and reduced height, with fungal patches visible near the stem base.",1
"Chickpea leaves show dark necrotic spots and early leaf drop across several rows.",1
"Kidney bean plants exhibit uneven growth with yellow patches and weak stems.",1
"Pigeon pea plants wilted suddenly despite sufficient irrigation; roots appear discolored.",1
"Moth bean leaves show powdery fungal growth and reduced flowering activity.",1
"Mung bean plants show leaf curling and visible insect damage underneath the foliage.",1
"Black gram crop displays yellow mosaic patterns with poor pod development.",1
"Lentil plants have brown spots on leaves and overall stunted growth.",1
"Pomegranate trees show leaf yellowing with cracked fruits and reduced yield.",1
"Banana plants show dark streaks on leaves and delayed fruit maturity.",1
"Mango trees exhibit black fungal spots and premature fruit drop.",1
"Grape vines show white powdery coating and uneven berry formation.",1
"Watermelon plants show yellow patches on leaves and rotting near vine joints.",1
"Muskmelon plants wilt during peak sunlight hours and show fungal discoloration.",1
"Apple trees show browning at leaf margins and reduced fruit size.",1
"Orange plants exhibit yellow leaves with black surface spots on fruits.",1
"Papaya leaves show circular ring spots and weakened plant structure.",1
"Coconut palms show yellowing fronds and decline in nut production.",1
"Cotton plants show boll shedding with pest infestation on leaves.",1
"Jute crops exhibit stem rot close to soil level and leaf yellowing.",1
"Coffee plants show rust-like lesions and reduced flowering intensity.",1

"The rice field appears healthy with uniform green leaves and strong tiller formation.",0
"Maize plants are growing evenly with healthy leaf color and good plant height.",0
"Chickpea crop shows normal flowering and strong pod development.",0
"Kidney bean plants look vigorous with no visible discoloration or damage.",0
"Pigeon pea plants are healthy with firm stems and consistent foliage.",0
"Moth bean crop shows uniform growth with no disease symptoms.",0
"Mung bean plants have healthy leaves and normal pod formation.",0
"Black gram crop appears uniform with good color and strong growth.",0
"Lentil plants show steady growth and intact leaf structure.",0
"Pomegranate trees show healthy foliage and proper fruit setting.",0
"Banana plants exhibit strong stems and well-developed leaves.",0
"Mango trees show healthy flowering and balanced fruit development.",0
"Grape vines show consistent leaf color and healthy fruit clusters.",0
"Watermelon plants spread well with healthy leaves and firm fruits.",0
"Muskmelon vines show normal growth and good fruit set.",0
"Apple trees appear healthy with green leaves and good fruit size.",0
"Orange plants show strong growth and clean fruit surfaces.",0
"Papaya plants are growing normally with healthy leaf shape.",0
"Coconut palms show green fronds and satisfactory nut yield.",0
"Cotton plants show uniform boll development and healthy foliage.",0
"Jute crops are growing straight with strong stems and green leaves.",0
"Coffee plants show healthy foliage and regular flowering patterns.",0
